Row Labels
"Carrot, Sweet Potato, Pumpkin, Spinach, Papaya, Mango, Milk, Butter"
"Cashews, Almonds, Pumpkin Seeds, Sesame Seeds, Whole Grains, Eggs, Milk, Lentils"
"Fortified Milk, Curd, Cheese, Egg Yolk, Fish, Sun-exposed Mushrooms"
"Milk, Curd, Paneer, Cheese, Eggs, Fish, Fortified Cereals"
"Orange, Lemon, Guava, Amla, Tomato, Bell Peppers, Strawberry"
"Spinach (cooked), Beetroot, Lentils (Dal), Chickpeas, Kidney Beans, Dates, Raisins, Eggs, Paneer, Red Rice, Jaggery"
Grand Total
